timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
46888000,0,0,1,1,1,1,0,1,1
52960000,0,0,1,1,1,1,0,1,1
52984000,0,0,1,1,1,0,1,1,0
53040000,0,0,1,1,1,0,1,1,0
53092000,0,0,1,1,1,0,1,1,0
53140000,0,0,1,1,1,0,1,1,0
53192000,0,0,1,1,1,0,1,1,0
53240000,0,0,1,1,1,0,1,1,0
53292000,0,0,1,1,1,0,1,1,0
53344000,0,0,1,1,1,0,1,1,0
53384000,0,0,1,1,1,0,1,1,0
53432000,0,0,1,1,1,0,1,1,0
53484000,0,0,1,1,1,0,1,1,0
53536000,0,0,1,1,1,0,1,1,0
53584000,0,0,1,1,1,0,1,1,0
53636000,0,0,1,1,1,0,1,1,0
53688000,0,0,1,1,1,0,1,1,0
53736000,0,0,1,1,1,0,1,1,0
53788000,0,0,1,1,1,0,1,1,0
53836000,0,0,1,1,1,0,1,1,0
53888000,0,0,1,1,1,0,1,1,0
53940000,0,0,1,1,1,0,1,1,0
53988000,0,0,1,1,1,0,1,1,0
54040000,0,0,1,1,1,0,1,1,0
54088000,0,0,1,1,1,0,1,1,0
54140000,0,0,1,1,1,0,1,1,0
54192000,0,0,1,1,1,0,1,1,0
54240000,0,0,1,1,1,0,1,1,0
54292000,0,0,1,1,1,0,1,1,0
54344000,0,0,1,1,1,0,1,1,0
54392000,0,0,1,1,1,0,1,1,0
54432000,0,0,1,1,1,0,1,1,0
54484000,0,0,1,1,1,0,1,1,0
54536000,0,0,1,1,1,0,1,1,0
54584000,0,0,1,1,1,0,1,1,0
54636000,0,0,1,1,1,0,1,1,0
54684000,0,0,1,1,1,0,1,1,0
54736000,0,0,1,1,1,0,1,1,0
54788000,0,0,1,1,1,0,1,1,0
54836000,0,0,1,1,1,0,1,1,0
54888000,0,0,1,1,1,0,1,1,0
54940000,0,0,1,1,1,0,1,1,0
54988000,0,0,1,1,1,0,1,1,0
55040000,0,0,1,1,1,0,1,1,0
55092000,0,0,1,1,1,0,1,1,0
55140000,0,0,1,1,1,0,1,1,0
55192000,0,0,1,1,1,0,1,1,0
55240000,0,0,1,1,1,0,1,1,0
55292000,0,0,1,1,1,0,1,1,0
55344000,0,0,1,1,1,0,1,1,0
55384000,0,0,1,1,1,0,1,1,0
55432000,0,0,1,1,1,0,1,1,0
55484000,0,0,1,1,1,0,1,1,0
55536000,0,0,1,1,1,0,1,1,0
55584000,0,0,1,1,1,0,1,1,0
